labels,comments
0,"Bukan takut merombak min, tapi memang inilah pemain2 yg terbaik dari yg tersedia 😅"
0,kenapa ga rombak total?<br>emang siapa yang mau gantiin Haye?<br>M. Tohir?<br>Yaa gausah dibahas jugaa padahal di seluruh dunia pun ga pernah ada yg rombak total.
0,Yakob sayuri harusnya Masuk di banding Hoki caraka
0,"sayang witan nggak di panggil, padahal pemain lokal paling flexible dan taktis itu ada pada witan, malah hoki yg di bawa,"
0,Bukan takut merombak.. Tapi lebih ke minim pilihan🤣🤣🤣
0,Gacor 🇮🇩🇮🇩🇮🇩🇮🇩🔥🔥🔥
0,Copy paste. Era sty. Hanya keberuntungan yang bisa di raih pelatih sekarang.
0,Gua yakin indo vs aus pormasi acak acakan
0,Mantep sekali Bung Tommy😊
0,Taktik STY tidak akan tergantikan lur
0,ALWAYS PRESENT BANG TOM😁
0,Taktik dan strategi yang berbeda. Jangan lupa ruang ganti juga bisa menjadi poin penting
0,"PK mempertahankan formasi pemain warisan sty, hanya merubah taktik permainan"
0,"Ini analis kurang cerdas.,"
0,Terlalu berisiko.
0,Mengutamakan jam terbang tinggi diclub itu hanya omon2 si patrick
0,nathan yang sudah tidak bermain di klub selama 6 bulan masih saja dipanggil
0,Bingung juga dengan pengamat lokal.<br>Maksudnya dirombak dengan pemai liga 1 semua apa bagaimana?
0,"Si patrick diawal kedatangannya dia bilang akan mengutamakan pemain2 yg punya jam terbang tinggi diclubnya.<br><br>Maksudnya rombak pemain itu pemain yg ga dapet jam terbang yg baik diclubnya kemungkinan dirombak diganti yg lain. Ehh nyatanya kaga, malah tetep dipanggil. Ga sesuai omongannya diawal si patrick. <br><br>Itu lah mengapa analis mengiranya akan ada perombakan discuad timnas melihat dari omongannya sipatrick diawal yg mw mengutamakan pemain yg jam terbangnya tinggi diclub"
0,"@@hendriharahap6172 betul, si nathan udah ga main selama 6 bulan di klub, masih aja di masukin skuad. respek gw jadi menurun sama patrick."
0,"@@FeriFerdinan-i7o si struick aja yg ngilang dari scuad utama brisbone juga tetep dipanggil🤣. <br><br>Kasian gw mah kaya si saddil tu yg menit bermainnya tinggi di sabah liga malaysia, masa kaga dipanggil kalah sama para camat2😆"
0,"@hendriharahap6172  cara berpikir kacamata kuda. Patrick bilang akan &quot;diutamakan&quot; bukan berarti asal rutin main di klub terus dipilih.<br>Kebayang gak, kalau pemainnya Nawi, sadil, arahan, ditambah pemain rutin liga 1. Yg ada sisa 4 pertandingan nol point &amp; jadi lumbung gol."
0,"@ArjunaIreng-h8f yg jarang main itu kan cuma struick dan nathan dalam beberapa bulan terakhir ini. Ya yg diganti 2 pemain ini aja lah klo emang mengutamakan menit bermain diclub biar ga omon2. Ganti sama saddil kan bisa pemain yg pernah jadi pemain terbaik liga malaysia. Nathan di bek kiri juga udah banyak stoknya ada verdonk, dean james, pattynama, arhan. Nah pengganti nathan bisa ambil adam alis buat ngisi tengah. Adam alis juga pemain era sty sama kaya saddil<br><br>Di QWC round 2 lawan philipina leg 1 klo bukan karna goal saddil udah kalah indonesia dan kehilangan poin"
0,Memanglah sekarang blum bisa rombak total kecuali klo mau blunder
0,Rombak total maksudnya diganti semua pemain????🤡🤡🤡
0,Alex pastoor kan udah bilang &quot; dia ga gila memaksakan total football dengan melihat kapasitas pemain &quot;.
0,Sebenarnya pundit bolah yg buat pecah belah  di ruang ganti timnas. Nama belum keluar mreka Sd koar koar di youtube nma2 yg tdk pangli padahal pangil semua kecuali asnawi sama witann
0,Memang cuman itu pemain indo bro..masak manggil Tahir🤣🤣 yg jadi penentu posisi dan pemain yg diturunkan saat main..kalo sty dulu kan serin experiment coba coba Mulu😭
0,"Yang mesti ditendang itu Hokky caraka, Ferrari.. blm bisa ngimbangi tim.. yang bingung itu jens raven gak dipanggil. Kenapa welber Jardim gak dipromosikan???"
0,Katanya masalah yang kemarin cuma komunikasi ..kenapa harus dirombak
0,Halah bang ente analisis pemain aja banyak yg salah kemren katanya yacob di butuh kan pelatih pk kok gak di panggil 😂😂😂
0,Wkwkwk wkwkwk wkwkwk wkwkwk wkwkwk wkwkwk
0,Maksd saya bukan ingin rombak tapi dia kan memantau pemain dari 1 bulan lalu. Nahh misal hoki dan ferarri apakah bener bener baik kwalitasnya atau biasa aja . Kalo biasa aja mending yg lain . . Kalo inimah 100 persen  skuaf sty yg bukan di era sty cuma   rombongan ole romeny doang
0,"apakah bagas,straiker dewa united juga ada di pasukan STY bro, baca baik2 dulu baru komen,lalu ada penambahan 3 pemain dan skuad  diatas belum final masih ada 5 yg aut dan siapapun pelatihnya tdk mungkin rombak total bro,jangan asal omdong"
0,dulu sty juga pakai pemain warisan pelatih sebelumnya
0,"Dari kelep Persib,gada yanq di aku sama timnas , Indonesia 🤦"
0,Mau rombak ya blunder
0,Konyol aja bang klw mau robak pemain
0,Rombak total maksudnya ganti banyak pemain?
0,padahal sebenrnyaa ini pembahasan yg gausah dibahas sih kalo menurut gua 😂
0,"Lu analisis pemain aja banyak salahnya di podcast Arya sinulingga. Bilang sayuri pemain penting di formasinya Kluivert, pemain cepat. Eh Dipanggil juga kagak😂"
0,Namanya juga analisa om kan belum tentu benar
0,"Namanya juga prediksi,gua juga bisa kalau cuma kasih prediksi 😅😅😅😅😅"
0,"salah satu orang yang mengaku pundit, banyak ditonton, tapi ngawurnya poll, ya si tommy ini. sy sering gedeg kalau lebaynya mulai keluar. tp akhirnya tetep nonton karena liat dia yg serius tapi bodoh itu betul2 menghibur HAHAHAHA"
0,Rombak total ?lalu pakai pemain yang mana 😂😂😂
0,Pake lokal maksudnya
0,lamonngan jatim hadir
0,Arhan ngapain cok di panggil
0,Lemparan 75% goal... yg aneh itu garuda hoki masih dipanggil
0,"3 pmain itu pasti di panggil , mka nya sementara pnggil 27 yg 3 blum di umum kan jdi semua 30 dan akn di coret mnjadi 23 atau 25 pmain"
0,Ya jls yg di harap kan itu kimistri tim yg udah dibntuk dri lma yg nama2 trsebut bang  jdi klo smpai platih baru brani merombak total maka akan dari nol lagi. Jdi baik nya tinggal lbih mmatang kan para pemain2 yg sudah trbantuk ga Muali dari nol lagi. Lucu jah klo bisa  brani rombak total pamin yg sudah jauh lbih baikk kemistri nya tinggal liat jah pemain mna yg siap dn yg full sllm prtndingan lawan usse nnti. Pelatih yg baru. Harus nya tinggal mnerus kan apa yg sudah platih lama  tinggal kan jngan merubah nama2 yg sudah ada dn tinggal matang kan jah. Klo smpai rombak total maka itu resiko platih yg baru klo smpe slah maka akan  mnghukum keputusan nya nnti coz kita liat jh. Nnti. Tak tik apa dn prmainn apayg di trap kan moga jah sukses
0,Mau dirombak pakai pemain yang mana?? Apakah dirombak diganti ama lokal preet😂.
0,Yg ada kebantai 0-10 lagi oleh Bahrain klo pake full lokal😂
0,aneh memang😂
0,"​@@xijinping830betul, aneh juga yg bikin konten😂"
0,Nontonnya sampai habis bang... Ketahuan nonton judulnya doang... Wkwk
0,"Setuju,,sumber daya manusia lokal kurang😂😂😂"
0,​@@pengagumhewan1087lawak😂. Kalau bikin judul harus sama dengan isinya. Ngalir ngidul rombak ga jelas😂
0,@@pengagumhewan1087 sama aja ngalor ngidul ga jelas🤣
0,",😂"
0,P.K tidak takut rombak total cuma sumber dayanya ya itu2 saja😂😂
0,bener😂😂
0,Ini yang paling simple.
0,"lah iya, emang udah brp banyak pemain diaspora nya, aneh jg netizen ya komen 😅😅"
0,Katanya squad Lamborghini supirnya harus Lamborghini 😂
0,"bahkan di tim2 besar pun gntu platih,pmain intinya ya itu2 jg, apalagi indo yg sdm bola nya terbatas 😅"
0,Sepakat..mau di utak-atik macam gimana ya SDM nya ya ini2 juga.. terutama pemain lokal nya...<br>Masak m Tahir 😅😅
0,M Tahir kapan dipanggil?
0,​@@iwakmangutkendal6945ntar bang dia di panggil nya pas idul adha😂😂😂😂
0,"karena tidak ada cukup waktu jika pakai pilihan baru, tapi percaya seusai turnamen ini pasti ada pilihan baru sesuai pilihannya mungkin sudah ada beberapa incaran tapi ga ambil resiko di tengah turnamen yg berjalan dan ekspektasi netizen tinggi, meski dengan pemain tetap sekarang harusnya juga ada uji coba untuk pematangan adaptasi taktik."
0,Ngga juga
0,beda kluivert sama sty? kemungkinan lawan cina dan bahrain bisa menang ....
0,"dari 27 pemain yg dipanggil komposisinya adalah : 3 kiper, 12 bek, 6 gelandang, 6 striker, sungguh disayangkan pemain gelandang sedikit sekali cuma 6 orang sedang pemain bek begitu menumpuk dengan 12 orang, harusnya pemain gelandang ditambah 2-3 orang lagi sedang pemain bek dikurangi lah 10 pemain saja udah cukup ngapain banyak2, sy sarankan kluivert memanggil 2 pemain gelandang tambahan, kandidatnya : stefano lilipaly, mark klok, adam alis, saddil ramdani sedang 2 pemain yg bisa dicoret adalah ferari dan hokky charaka, menurut gw mubazir memasukan 2 nama itu dalam skuad, menuh menuhin aja, mending dimasukan pemain yg lebih bermanfaat"
0,"Lawak😂<br>Itu pemanggilan sementara yg 27 pemain, ditambah 3 yg blm sumpah negara, audero, james, dan Pelupesi. <br>Jadi total 30 pemain, yang didaftarkan nanti lawan Australia dan Bahrain yg resmi hanya 23 pemain. Jadi 7 pemain lg yg akan dicoret."
0,"@@PanduPandu-j9p intinya pemain gelandang diperbanyak sedang pemain bek dikurangi, itu ferari, pratama arhan sama jordi amat mendingan dicoret aja"
0,"@@zaidanathallahputra1961 ya kan belum dicoret tunggu aja, kan pendaftaran terakhirnya itu 13 maret, pemain yg resmi didaftarkan 23 pemain. Jadi 7 pasti akan dicoret santai aja. <br>Kemungkinan yg akan dicoret lagi mayoritas pemain lokal preet 🤣. <br>Serahkan aja kepelatih, PK dan pastor paling tau mana pemain berkualitas dan mana pemain odong-odong"
0,ngomong itu gampang...
0,Lha Lala....Uda cem kau pelatihnya. Aneh.....suka2 mereka lah
0,​@@zaidanathallahputra1961penonton mah jangan banyak omong bang luh bukan pelatih😂😂😂
0,"Macam pelatih hebat aja lu,"
0,"@@novarisandrianto9218 emang bener, masa pemain gelandang cuma 6, pemain bek 12, jomplang amat"
0,"Prmain gelandang cuma sedikiti, ya karena emang ga ada yg bermutu, gelandang diaspora pun yg bener bener grade A ya cuma thom haye😂, jenner pelupessy itu cuma grade B ke arah C malah, apalagi yg lokal iti bisa grade F 😂. Makanya oemain macam nathan jordy diodorong ke gelandang padahal aslinya bukan gelandang, makanya bobrok mereka main di gelandang😂"
0,"Bocil ngajarin pelatih timnas😂😂😂,bangun dek"
0,"Siapa elu ngatur2 pelatih Timnas? Bek 12 orang juga banyak yg bisa main midfielder, kocak lu."
0,"Tau apa kau?? Di sini kau bukan coach, jadi cukup diam saja"
0,"Mana kau?? Muncul woyy, beri jawaban muuu"
0,Semoga timnas kalah melawan Australia dan gagal lolos ke piala Dunia. Amin
0,@@orangmiskin7439 Caperr...komen kamu semiskin namamu...
0,Bocil tau apa lu tentang bola
0,Klo gk tau apa apa gk usa komen kau
0,"Sbenernya ga banyak berubah sih, cuman sentuhan sistem penyerangan aja yang akan berbeda jika di pegang coach PK"
0,"Judul yg aneh!!! Memangnya masih ada pemain lain yg bisa dipanggil yg kualitasnya memadai??? Siapapun pelatihnya, pemain timnas yang tersedia ya itu itu saja boss, paling berbeda 2 s.d 3 orang saja yg tidak signifikan. Pemain timnas yg tersedia adalah16+3 diaspora ditambah beberapa pemain dari liga 1 &amp; beberapa yg abroad seperti Marselino."
0,Justru riskan kalo total
0,Judulnya agax aneh gax mungkin rombak total yg menjadi andalan adalah naturisasi tp cukup baik yg sekarang ngambil pemain setidaknya yg sedang bagus d klub
0,"Ya bro ,judul nya agk aneh ,yg pnting ngoceh dan buat konten😂"
0,sependapat
0,​@@Hermanto-hb4gqhhha 😂
0,Surabaya selalu
0,Halo pak dok! Wkwk
0,"Yg benar aja bang, inilah pemain terbaik kita, dirombak untuk lokal pret, mimpi...."
0,Tangan nya ga bisa diem
0,"Dari Garuda calling udh kelihatan klo permainan tdk jauh berbeda dr era sty.. mungkin akan di sempurnakan kekurangan dr era sty. Sebenarnya peran PETRIK dkk kelihatannya untuk menjadi daya tarik diaspora yg sulit bergabung ke indo. Total football? Lupakan kawan.. itu bukan gaya sepakbola Indonesia, walupun kebanyakan diaspora dr Belanda. Ada yg bilang dr kecil mereka dicekokin total football jd ga cocok pemain sebagus itu bermain gaya sty. Tp faktanya era sty banyak capaiannya dan gebrakan untuk sepakbola. Suka tdk suka era sty membuka pintu pertama sepakbola Indonesia menuju lebih baik."
0,STY tanpa keturunan bisa apa .😊😊??.. GEBRAKAN Eric Tohir lah yg bisa membuat sepakbola Indonesia bangkit...STY di AFF aj keok gtu..lawan CINA jug keok krg EGO tinggi...
0,Total football hanya terjadi saat johan cruyff di timnas .<br><br>Di ajax meski attacking football tapi bukan total football 74- 76 timnas belanda
0,"heh penyembah sty, dulu waktu sty pertama ngelatih timnas, dia juga sama pake skuad pelatih sebelumnya, ini yang namanya transisi. di dunia sepakbola ini sudah biasa, bahkan bukan sepak bola saja, dia cabang olahraga lain pun sama. kalau lu bilang sty membuka pintu pertama sepakbola indonesia, itu salah besar.<br><br>kemarin MU waktu ganti pelatih baru, dia pake skuad pelatih sebelumnya untuk transisi.<br><br>stop lah menyembah sty, gua muak.<br><br>mending lu perbanyak tambah wawasan. supaya di otak lu bukan sty terus yang dipuja."
0,"Coach STY meninggalkan Timnas yg lagi naik performancenya. Coach Patrick cukup menambah kedalaman Timnas dan menutupi kekurangan seperti di lini tengah dan lini depan. <br>Kemungkinan yg akan dirubah coach Patrick dan Tim adalah formasi dan skema permainan. <br>Formasi sty : 3-4-3 /3-5-2 akan dirubah ke 4-3-3 atau 4-2-3-1. Skema permainan, kombinasi short dan long ball. Coach Patrick sbg striker bisa mengasah penyerang Timnas agar efektif dalam mencetak gol. Ada Struijk, Ole, Ramadhan, Hokky dan Septian"
0,Pemain yg ada udah bagus cumak butuh tambahan
0,Maklum masih baru..dn langsung main ..gk latihan ..langsung gebuk
0,"Boyolali,jateng hadir om 😊"
0,"Ga perlu dirombak total, mayoritas udah bagus. Tinggal ganti beberapa aja"
0,Suroboyo hadir cak..❤❤❤🇲🇨🇲🇨🇲🇨
0,Konten yg sarat dengan aspek edukasi. Good job bro.... Anda mencerdaskan masyarakat bola kita yang masih butuh banget dengan asupan-asupan edukasional begini.
0,Apa yg mesti di takutkan? Lha pemain utama cuma segitu2nya??
0,dora apaan sih ?
0,"FULL KOMEN NYA AKUN&quot; JUDOL,,,🎉🎉"
0,dora ini kobisa bnyk yg like
0,akun bot so asek
0,Sumpah kok ada yg like ya?
0,Udh muak liat komen yt full judoy
0,Mana link nya
0,bandar judol ya bang .
0,Pekanbaru Riau hadir 🙏🙏🙏
0,Suami saya sampe sekarang gk bisa berhenti😢😢😢😢😢😢
0,Promosi terus sepi pemain ya ?
0,Lagi promosi judol kah?
0,report aja bang gua udah muak liat komen beginian di channel siapapun
0,bandar judol ya bang .
0,Judol = Hama
0,iklan judol makin meresahkan di kolom komentar.
0,Gatelii
0,Gatelii
0,Yg gua heran kok banyak yg nge like ya tu komen judol nya?
0,Pesan buat bandar judol dari bandar lampung
0,Gua lebih heran lagi yang like ini komen. Apakah yang like ini pemain judol semua ❓
0,dora apaan sih ?
0,Judol = Hama
0,Suami saya sampe sekarang gk bisa berhenti😢😢😢😢😢😢
0,ini dora77 nyampah banget
0,temen gua maen ginian besoknya langsung izin gak masuk kerja wkwkwk
0,Bos jangan komentar judol
0,Komentar e d blek i slot🤦
0,Bang lu di mana
0,Semoga aja yang komen ini di kasih hidayah
0,Judol = Hama
0,Lagi promosi judol kah?
0,Komentar e d blek i slot🤦
0,"FULL KOMEN NYA AKUN&quot; JUDOL,,,🎉🎉"
0,Promosi terus sepi pemain ya ?
0,ini dora77 nyampah banget
0,dora apaan sih ?
0,kalo emang gacor mana buktinya ?
0,ini dora77 nyampah banget
0,jangan judi ya gess
0,Sumpah kok ada yg like ya?
0,"FULL KOMEN NYA AKUN&quot; JUDOL,,,🎉🎉"
0,Suami saya sampe sekarang gk bisa berhenti😢😢😢😢😢😢
0,ini dora77 nyampah banget
0,dora apaan sih ?
0,jangan judi ya gess
0,jangan judi ya gess
0,bodoh kalo rombak total...soalnya pertandingan sebentar lagi..kita nga banyak waktu untuk mulai dari awal lagi
0,Pokoke squad yg ada ini yg Ter the best om❤❤❤
0,Lah rombak total gmn itu pemain dah susah susah di naturalisasi kok mau di rombak bang... apa g salah nii...??<br>Menurut sy inilah pemain terbaik yg kita punya jd aneh saja klo mau dirombak...
0,Maksudnya dari pemain lokalnya kali bang ..
0,"Seiring berjalan waktu pasti akan dirombak, terutama pemain yg jarang main perfrorm turun"
0,Yh itu hak pelatih dan nnt ada yg komen lah kan sudah di naturalisasi cape cape g di pake hahahha...<br>Memang membingungkan negeri ini urusan Starting line up timnas mau di atur atur sesuai selera mereka hahaha kocak....!!!!
0,"Dirombak pun juga g ada gunanya. Saat ini timnas sedang berjuang di kualifikasi Pildun, klo ada yg berani merubah pemain, yg ada malah ancur permainannya dan jadi bulan&quot;an tim lain karena chemistry blm terbentuk"
0,Mungkin yg bikin konten maunya dirombak pakai pemain lokal preet semua😂
0,"mungkin beliau sedang kekurangan konten bang, padahal ini pembahasan yang gausah dibahas 😂"
0,Framing si desky yg gak bisa move on<br>Seolah2 ini skuad STY...lha emang stok pemain lokal kita banyak???
0,"​​@@cepiristaaqila2777 lokal udh di rombak bagaskara in asnawi out trus mau yg mana lagi yg dirombak sisanya diaspora semua masa mau dirombak paling ferari, hokky bakal dicoret diganti dgn joey,dean"
0,"AWAS COACH JGN TERJEBAK LGI HATI² WASPADA, JGN KYA COACH STYUNG ITU YG ADA DIA TERJEBAK 😂🤣🤣🤣🤭"
0,Kl sampe masukin ferari d lineup SM hoky udh itu artinya masuk jebakan😂😂
0,Hallo ❤❤❤😂
0,pertamax
0,Pasti lah Ada rasa takut itu... Buktikan Nanti vs ausie
0,fun fact: ARSENAL setiap main dimusim ini ga pernal kebobolan lebih dr 2 gol.<br>bukti bahwa salah satu tim dengan pertahanan terbaik didunia
0,Bangkit?? Fans lawak
0,"jika 2n leg ni madrid bisa bangkit dan menang serta menendang arsenal dari champion league, ianya bakal menjadi parut terdalam arsenal trutamanya ,dan akan membuat dunia kejut besar ,tapi gak mustahil madrid telah melakukannya berkali kali bukan kepada team kecil tapi tim tim gergasi ..madrid tuh susah diramal,dia ada supersonic power yang ga ad pada tim tim lain didunia,tp jarang digunakan,berbnding tim lain yg sering mengeluarkan segala power untuk menentang madrid.."
0,Tapi gue ga percaya madrid bisa menag. Cetak 4goolll di kandang untuk nyingkirin arsenal😂😂😂😂😂
0,Ternyata pundit bnyak juga fans arsenal yaaa
0,aldi kosonggg kagak jelas
0,"Mas ario enak analisis nya nggak fanatisme nambah ilmu, aldi gw sama fans arsenal lain wajar lg to the moon, tp jangan jumawa dulu siapapun lawannya apalagi main away tetep harus fokus, kalo secara peluang mungkin arsenal masih 60%, inget lawan everton fulham newcastle masih bisa ditahan imbang, menarik melihat arteta mau pakai taktik apa nanti, pokoknya jangan kebobolan dibabak pertama<br><br>Enak nonton bola bukan cuma liat skor tp taktik dan cara mainnya juga, jadi bukan fanatisme buta kyk bocil"
0,"Jgn senang dulu Arsenal, kalian klub kmrn sore d ucl dan sama sprti city ..buktikan ja nnti d Bernabeu klo kalian bisa lolos selanjutnya, tau g kalian itu d prank Madrid  n bljr byk dari city gmn real Madrid d level ucl.."
0,orang2 lupa Arsenal mode parkir tank kek mana
0,The Gunners
0,Leg 2 4-1
0,"Mulai dari menit 6.40, Arsenal sama hal dengan MU di UEL, tapi kenapa ga bisa diterapin di Premier League ??"
0,Udah lama gak liat head  to head seru macam ini :<br>Madrid si tukang comeback lawan arsenal yang sebapuk2nya gak pernah kemasukan lebih dari 2 gol di musim ini 👏👏👏
0,Arsenal 4-5 Madrid
0,Parking bus aja
0,"Pertandingan belum selesai boy, tunggu di bernabu, sseringkali ada magis disana❤"
0,fix seri di kandang Madrid.
0,Tetap semangat madrid ku yok bisa yok leg ke 2
0,😂😂
0,Madrid cuman ngeprank
0,madrid lagi busuk banget emang
0,"gak bakalan comeback madrid tuh, mainnya kyk liga 2"
0,susah ngejar si madrid
0,Madrid comeback?? Mimpi 😅😅😅😅
0,"Yang harus ditakutkan Arsenal di leg kedua hanya wasit, biasanya vardrid dapet giveaway satu atau dua penalti di santiago berdebu😅"
0,Arteta stay
0,Semoga Arsenal gak jadi korban Madrid selanjutnya dan kita mendapatkan Juara baru UCL musim ini.
0,Madrid ini cm managemen terlalu ke PD an tidak mau belanja pemain please perez lu ubah filosofi football ini tim besar tidak layak dpt pelatih dan skuad yg amburadul khususnya lini belakang dan gelandang berrahan
0,Asencio : udah ya main ramos ramosannya
0,Arsenal yg aku lolos
0,"Comeback madrid kecuali utk arsenal, camkan, sejarah tong, ga ad data madrid bs comback utk arsenal😅😅😅"
0,"Aldi pengen banget validasi dari mas Haryo 😂 iya Di, tim lu paling hebat lah.."
0,kalah menang tetap halamadrid ❤❤❤
0,Saya bukan fans madrid<br>Tapi saya yakin d bernabeu madrid akan total pres arsenal dr menit awal<br>Dan arsenal hanya akan defend total
0,"ini baru Pandit Profesional,bukan kayak sih botak Itu"
0,"Kaya pada gk ikhlas bgt kalo arsenal menang ...tinggal di akuin aja ohh iyq arsenal keren, susah amat bilang arsenal keren menang"
0,Madrid nggak mampu kasih perlawanan emang bener bener miskin tak tik 😂
0,"kasih saja ke arsenal trofi ucl nya, kasihan sepanjang hidup klub masa ga dapet ucl"
0,Arsenal harus sedia kehilangan pemain terbaik mereka kerana real sudah pasti mula mengintai pemain terbaik mereka🤣🤣🤣
0,Barca
0,"Kalau feeling saya madrid gak bakal bisa comeback di leg kedua karena kalau di lihat tren beberapa pertandingan terakhir permainan madrid kurang meyakinkan, tanpa sistem yg jelas dan cenderung skill individu."
0,Arsenal ❤
0,"Layak fans arsenal merayakan selain gameplay dan sekor telak nya.terlebih sebelum leg 1 mulai fans madrid pundit luar dan dalam negri terlalu meremehkan dan seakan merendahkn arsenal. Mengibarat kan KELEDAI VS SINGA, bahkan si Botak Justin bikin statemen Madrid hanya butuh 1/4 peluang buat cetak gol sedang kan arsenal butuh 4000 peluang. Giliran fans arsenal merayakan kemenangan nya dibilang berisik sama fans madrid. Analogi nya ketika lo dikelas diremehin gak akan naik kelas tapi tiba² lo naik dengan nilai bagus masa iyaa gak boleh merayakan."
0,Wasit siap bekerja dgn memberi 2 pinalti siluman + waktu tambahan ampe menit 90+9 catat omongan gue
0,Tidak mudah membalikkan keadaan jika melihat permainan dan goal disuguhkan arsenal di leg pertama meskipun leg dua di bernabeu arsenal bukan kesebelasan kasta ketiga kecuali pemain arsenal jatuh mental
0,Bangkit memungut bola dari jaring gawangnya.
0,Host nya turu semua
0,"Madrid ga butuh striker, madrid cuma butuh penalty yg banyak 😂😂😂😂😂3333"
0,Paling 2-0. Yg namun madrid tetap pulang kampung
0,Memang arsendal tim yg bisa menang telak. Tapi tim yg bisa tau cara utk lolos adl madrid 🎉😂
0,Tepatnya wasit yg tau gmna lolosin madrid kwkwwkk
0,Bang tolong undang fans Liverpool yang marah marah
0,Kok leg ke-2 tanpa Partey? Emang kena akumulasi kartu?
0,"Harusnya gak donk. Sebelum lawan Madrid yang kuning itu Martinelli, Rice, Timber!"
0,Menikmati setiap pertandingan dan merayakannya. Begitulah fans Arsenal. Gak perlu ngotot² quadruple. Tsunami trofi dan sebagainya. Tiap match gak ngantuk nonton match nya aja udah seneng bjirrrr
0,"Yang seperti di bilang kochi aja<br>Madrid kalo maen nya lagi nyetel itu bakalan gila dan bisa ngancurin mental lawan<br>Tapi sebaliknya<br>Kalo lagi main bapuk itu bakalan bapuk bgt, susah buat comeback in<br><br><br>Feel gua bakalan susah buat balikin skor 3-0 di Bernabeu kalo main nya ga nyetel<br><br><br>Semoga mental UCL nya balik lagi di leg 2"
0,"Harus di skoring, pemain Madrid itu nilainya skill individunya 85-95, tapi secara tim 75-79. Apalagi jembatan sama defensenya sering dibahas sering ketarik kepancing"
0,Mana ini Kochi mau liat dia tanggung jawab ama omongan nya 😂😂😂
0,Coyg 🔥
0,"Ngalahin Madrid 3-0 , ga menghibur nya gmn bosku????"
0,Ud emg Arsenal gk ad obat kwalitas terbaik di Epl klo menang-menang dn juara ud sepantasnya semangat dn mantap Arsenal💪👍👍
0,"Si Aldi ngarang chlsea 2012 di liga itu terseok2 pringkat 7,dia bisa Main UCL musim selanjutnya krna juara UCL!<br>Itu pun pergantian pelatih dri vilas boas ke di Matteo."
0,"Keep doubting us, guys😊"
0,arsenal doping lagi kek nya
0,Pundit kebanyakan istilah2 gak jelas
0,Ada efek Jorginho di kemenangam Arsenal VS Madrid kemaren.
0,"Analisa Adi Yani paling keren sih sampai tahu Milijan Radovic pernah melakukan Free kick yang sama dengan Declan Rice di Persin. Peran Tierney di babak kedua yang ditugaskan memberi pressing di sisi kiri ok banget sih, Arteta memang ga mau kasih Madrid satu gol pun. Menurut saya Madrid sudah selesai kalau Madrid sampai comeback Arsenal parah sih."
0,"GAK ADA KOCHI, DPI LEBIH ADEM DAN NIKMAT UNTUK DI SIMAK<br>DARIPADA AD SI KOCHI SOK PALING MERASA PALING TAHU TENTANG SEPAKBOLA PADAHAL MODAL GEDE BACOT 😅"
0,DPI JD SMPAH GINI
0,"Harusnya coach justin d undang, krna d episode sebelumnya dia prediksi arsenal bakal ga bisa bersaing sama madrid 🤣"
0,Intinya jangan coba2 main terbuka ama arsenal...liat city ama psg kemaren contohnya...maunya arsenal kalo musuh maen terbuka. Arsenal kalah lawan inter doang yg main lowblok. Itupun goalnya pinalty.
0,Emang bener bener miskin tak tik 🤣🤣
0,"<a href=""https://www.youtube.com/watch?v=OiZmPAAY2NE&amp;t=1329"">22:09</a> aldi counter pake emosi njir"
0,Malu lah prediksinya madrid mana menangnya coach bekel
0,"Kata coach bekel, arsenal butuh 4000 peluang"
0,"Tuuu coach basket diundang lagi,, banyak bohongnya"
0,Lama lagi arteta di pecat........
0,Optimis aja hallamadrid🔥🔥
0,"JAWABANYYA KENAPA PAGAR NYA CM 4, y krn bbrp x courtuis brmain menepis pluang” emas, jd kmungkinan besar pemain trlalu pcy bgt dgn kiper tnp mmprhitungkan taktik lawan dlm bola mati. Dgn 4 pagar mrk hny mngantisipasi prgerakan lawan jk bola mati tsb diumpan jd mnambah pmain dlm mnjaga dgn mngurangi pagar."
0,harusnya yg menentukan berapa pagar pemain itu kiper bukan pemain lainnya
0,Gua fans ARSENAL MADRID tapi gua g yakin Madrid bisa menang lawan Arsenal🙏
0,"Ya bner bisa ngalahin Arsenal di Santiago Bernabeu,tapi Madrid tidak bakal lolos😂"
0,"Gak ada klub yg berjaya tetus menerus.. <br>Musim ini Madrid lagi turun, udah akui aja.  Gak perlu terlalu didewa2kan.. <br>Dgn 15 pialanya.. <br><br>Gak ada sejarahnya klub yg tertinggal 3 gol bisa membalikkan situasi.. <br>Beda kalau cuma 2 gol.. <br>Bebannya beda.. <br>Bahkan Messi dan Ronaldo juga gak bahkan bisa.. <br><br>Mereka dipaksa harus menang dan menyerang secepatnya, yang mana jadi mempersulit permainan, beban yg ditarug ke pundak pemain2 muda Madrid ini malah akan merugikan..<br><br>Saya yakin Arsenal akan bisa mengatasinya.. Bahkan bisa menahan Madrid di kandangnya.. 😮"
0,Ah yg benar? <br>Coba di ingat lagi😅<br>DI musim 2018-2019 Liverpool pernah comeback setelah tertinggal 3-0 dengan menang 4-0 di leg kedua
0,"<a href=""https://www.youtube.com/watch?v=OiZmPAAY2NE&amp;t=401"">06:41</a><br>Gaya permainan spanyol dan pemain terbanyak pembela timnas spanyol yg ori itu, ada di club barcelona. <br><br>Jd blm bisa dibilang sepak bola inggris diatas sepak bola spanyol."
